candidate_id,Active Learning,Active Learning_evidence_count,Active Listening,Active Listening_evidence_count,Critical Thinking,Critical Thinking_evidence_count,Learning Strategies,Learning Strategies_evidence_count,Mathematics,Mathematics_evidence_count,Monitoring,Monitoring_evidence_count,Reading Comprehension,Reading Comprehension_evidence_count,Science,Science_evidence_count,Speaking,Speaking_evidence_count,Writing,Writing_evidence_count,onet_skill_match_count,total_onet_evidence_count
Candidate_001,1,2,0,0,1,4,1,2,1,2,0,0,1,5,1,1,0,0,1,3,7,19
Candidate_002,1,3,0,0,1,3,1,2,0,0,0,0,1,3,0,0,0,0,1,1,5,12
Candidate_003,1,5,1,1,1,4,1,2,0,0,1,1,1,5,0,0,1,1,1,2,8,21
Candidate_004,1,3,0,0,1,3,1,2,1,1,1,1,1,5,1,1,0,0,1,3,8,19
Candidate_005,1,5,0,0,1,6,1,2,1,1,0,0,1,4,0,0,0,0,0,0,5,18
Candidate_006,1,5,1,2,1,3,1,5,1,1,0,0,1,4,1,1,1,2,1,1,9,24
Candidate_007,1,6,1,2,1,5,1,5,1,2,1,1,1,5,1,1,1,2,1,1,10,30
Candidate_008,1,2,0,0,1,3,1,2,1,2,1,1,1,3,1,1,0,0,0,0,7,14
Candidate_009,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,2,6
Candidate_010,1,5,1,3,1,4,1,5,1,2,1,1,1,7,0,0,1,3,1,5,9,35
Candidate_011,1,2,0,0,1,2,1,2,0,0,1,2,1,5,0,0,0,0,1,4,6,17
Candidate_012,1,2,0,0,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,7,9
Candidate_013,1,1,0,0,1,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,5,7
Candidate_014,1,3,0,0,1,4,1,1,1,2,0,0,1,3,1,1,0,0,0,0,6,14
Candidate_015,1,6,1,1,1,6,1,3,1,1,1,3,1,6,1,1,1,1,1,3,10,31
Candidate_016,1,6,1,1,1,7,1,2,1,2,0,0,1,4,1,1,1,1,0,0,8,24
Candidate_017,1,4,1,1,1,5,1,2,1,1,0,0,1,6,0,0,1,1,1,2,8,22
Candidate_018,1,4,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,1,1,1,10,18
Candidate_019,1,2,0,0,1,3,1,1,1,1,1,1,1,3,0,0,0,0,1,1,7,12
Candidate_020,1,6,0,0,1,7,1,3,1,1,0,0,1,7,0,0,0,0,1,2,6,26
Candidate_021,1,4,0,0,1,5,1,2,1,1,0,0,1,6,0,0,0,0,1,2,6,20
Candidate_022,1,5,1,3,1,4,1,5,1,2,1,1,1,7,0,0,1,3,1,5,9,35
Candidate_023,1,2,0,0,1,2,1,2,0,0,0,0,1,4,0,0,0,0,1,2,5,12
Candidate_024,1,3,0,0,1,4,1,3,1,2,1,1,1,5,0,0,0,0,1,1,7,19
Candidate_025,1,3,0,0,1,6,1,2,1,7,0,0,1,3,1,4,0,0,1,1,7,26
Candidate_026,1,3,0,0,1,3,1,3,1,3,1,2,1,3,1,3,0,0,0,0,7,20
Candidate_027,1,2,0,0,1,2,1,1,0,0,0,0,1,3,0,0,0,0,1,2,5,10
Candidate_028,1,4,0,0,1,4,1,1,0,0,0,0,1,4,0,0,0,0,1,2,5,15
Candidate_029,1,3,1,1,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,10,17
Candidate_030,1,1,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1,1,5,6
Candidate_031,1,3,1,2,1,2,1,3,1,1,0,0,1,3,0,0,1,2,1,1,8,17
Candidate_032,1,4,1,2,1,5,1,2,1,2,1,1,1,7,1,1,1,2,1,4,10,30
Candidate_033,1,5,1,2,1,3,1,5,0,0,1,3,1,6,0,0,1,2,1,3,8,29
Candidate_034,1,5,1,3,1,4,1,5,1,2,1,1,1,7,0,0,1,3,1,5,9,35
Candidate_035,1,5,1,2,1,3,1,5,1,1,0,0,1,4,1,1,1,2,1,1,9,24
Candidate_036,1,3,1,1,1,3,1,1,0,0,1,2,1,3,0,0,1,1,1,1,8,15
Candidate_037,1,5,0,0,1,6,1,3,1,3,1,1,1,5,1,2,0,0,1,1,8,26
Candidate_038,1,4,0,0,1,4,1,1,1,1,0,0,1,4,1,1,0,0,1,2,7,17
Candidate_039,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,10,13
Candidate_040,1,3,0,0,1,5,1,2,1,2,0,0,1,3,1,1,0,0,0,0,6,16
Candidate_041,1,3,0,0,1,4,1,1,1,1,1,1,1,5,0,0,0,0,1,2,7,17
Candidate_042,1,2,0,0,1,3,1,1,1,2,0,0,1,2,1,1,0,0,0,0,6,11
Candidate_043,1,7,1,1,1,7,1,5,1,2,0,0,1,6,1,1,1,1,0,0,8,30
Candidate_044,1,3,0,0,1,3,1,3,1,1,1,4,1,4,1,1,0,0,1,1,8,20
Candidate_045,0,0,1,2,1,1,0,0,1,1,1,1,1,2,0,0,1,2,1,2,7,11
Candidate_046,1,4,0,0,1,5,1,1,1,1,0,0,1,5,0,0,0,0,1,1,6,17
Candidate_047,1,3,1,2,1,3,1,1,1,1,1,3,1,3,0,0,1,2,1,1,9,19
Candidate_048,1,4,0,0,1,5,1,1,1,1,0,0,1,5,0,0,0,0,1,1,6,17
Candidate_049,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5
Candidate_050,1,3,1,1,1,2,1,3,0,0,1,1,1,5,0,0,1,1,1,3,8,19
Candidate_051,1,2,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,4,7
Candidate_052,1,4,0,0,1,5,1,2,1,2,1,2,1,4,1,2,0,0,1,1,8,22
Candidate_053,1,2,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0,0,1,1,5,10
Candidate_054,1,9,1,3,1,8,1,5,1,1,1,3,1,10,0,0,1,3,1,6,9,48
Candidate_055,1,3,0,0,1,3,1,2,0,0,1,1,1,4,0,0,0,0,1,2,6,15
Candidate_056,1,3,1,1,1,2,1,3,0,0,1,2,1,4,0,0,1,1,1,2,8,18
Candidate_057,1,3,1,1,1,3,1,1,1,1,0,0,1,3,1,1,1,1,1,2,9,16
Candidate_058,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,1,1,1,1,7,8
Candidate_059,1,2,0,0,1,3,1,1,1,1,0,0,1,2,1,1,0,0,1,1,7,11
Candidate_060,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,6
Candidate_061,1,6,1,2,1,6,1,4,1,2,1,1,1,8,1,1,1,2,1,4,10,36
Candidate_062,1,5,1,1,1,4,1,2,0,0,1,1,1,5,0,0,1,1,1,4,8,23
Candidate_063,1,7,1,2,1,5,1,4,0,0,0,0,1,6,0,0,1,2,1,3,7,29
