candidate_id,CIP2020Code,CIP2020Title,cip_recommendation_score,supporting_occupations,best_occupation_rank,max_occupation_score,cip_recommendation_percentage,cip_rank,support_factor,adjusted_cip_score
Candidate_001,11.0103,Information Technology.,68.43428809142071,2,1,69.47300771208226,75.2777169005628,1,1.1,75.2777169005628
Candidate_001,11.0104,Informatics.,68.43428809142071,2,1,69.47300771208226,75.2777169005628,2,1.1,75.2777169005628
Candidate_001,11.0201,"Computer Programming/Programmer, General.",68.43428809142071,2,1,69.47300771208226,75.2777169005628,3,1.1,75.2777169005628
Candidate_001,11.0202,"Computer Programming, Specific Applications.",68.43428809142071,2,1,69.47300771208226,75.2777169005628,4,1.1,75.2777169005628
Candidate_001,11.0203,"Computer Programming, Vendor/Product Certification.",68.43428809142071,2,1,69.47300771208226,75.2777169005628,5,1.1,75.2777169005628
Candidate_002,1.0106,Agricultural Business Technology/Technician.,54.25200509448901,2,1,54.67625899280575,59.677205603937914,1,1.1,59.677205603937914
Candidate_002,1.8201,"Veterinary Administrative Services, General.",54.25200509448901,2,1,54.67625899280575,59.677205603937914,2,1.1,59.677205603937914
Candidate_002,1.8202,Veterinary Office Management/Administration.,54.25200509448901,2,1,54.67625899280575,59.677205603937914,3,1.1,59.677205603937914
Candidate_002,1.8203,Veterinary Reception/Receptionist.,54.25200509448901,2,1,54.67625899280575,59.677205603937914,4,1.1,59.677205603937914
Candidate_002,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,54.25200509448901,2,1,54.67625899280575,59.677205603937914,5,1.1,59.677205603937914
Candidate_003,52.0401,"Administrative Assistant and Secretarial Science, General.",89.1141009431207,3,1,89.91596638655463,100.0,1,1.2,100.0
Candidate_003,52.0402,Executive Assistant/Executive Secretary.,89.1141009431207,3,1,89.91596638655463,100.0,2,1.2,100.0
Candidate_003,1.0106,Agricultural Business Technology/Technician.,88.71316822140375,2,2,89.20863309352518,97.58448504354413,3,1.1,97.58448504354413
Candidate_003,1.8201,"Veterinary Administrative Services, General.",88.71316822140375,2,2,89.20863309352518,97.58448504354413,4,1.1,97.58448504354413
Candidate_003,1.8202,Veterinary Office Management/Administration.,88.71316822140375,2,2,89.20863309352518,97.58448504354413,5,1.1,97.58448504354413
Candidate_004,11.0103,Information Technology.,78.33970092920366,2,1,79.11311053984575,86.17367102212403,1,1.1,86.17367102212403
Candidate_004,11.0104,Informatics.,78.33970092920366,2,1,79.11311053984575,86.17367102212403,2,1.1,86.17367102212403
Candidate_004,11.0201,"Computer Programming/Programmer, General.",78.33970092920366,2,1,79.11311053984575,86.17367102212403,3,1.1,86.17367102212403
Candidate_004,11.0202,"Computer Programming, Specific Applications.",78.33970092920366,2,1,79.11311053984575,86.17367102212403,4,1.1,86.17367102212403
Candidate_004,11.0203,"Computer Programming, Vendor/Product Certification.",78.33970092920366,2,1,79.11311053984575,86.17367102212403,5,1.1,86.17367102212403
Candidate_005,1.0106,Agricultural Business Technology/Technician.,51.31794086262091,2,3,51.798561151079134,56.449734948883005,1,1.1,56.449734948883005
Candidate_005,1.8201,"Veterinary Administrative Services, General.",51.31794086262091,2,3,51.798561151079134,56.449734948883005,2,1.1,56.449734948883005
Candidate_005,1.8202,Veterinary Office Management/Administration.,51.31794086262091,2,3,51.798561151079134,56.449734948883005,3,1.1,56.449734948883005
Candidate_005,1.8203,Veterinary Reception/Receptionist.,51.31794086262091,2,3,51.798561151079134,56.449734948883005,4,1.1,56.449734948883005
Candidate_005,1.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,51.31794086262091,2,3,51.798561151079134,56.449734948883005,5,1.1,56.449734948883005
Candidate_006,11.0103,Information Technology.,90.09458716221704,2,1,90.35989717223649,99.10404587843875,1,1.1,99.10404587843875
Candidate_006,11.0104,Informatics.,90.09458716221704,2,1,90.35989717223649,99.10404587843875,2,1.1,99.10404587843875
Candidate_006,11.0201,"Computer Programming/Programmer, General.",90.09458716221704,2,1,90.35989717223649,99.10404587843875,3,1.1,99.10404587843875
Candidate_006,11.0202,"Computer Programming, Specific Applications.",90.09458716221704,2,1,90.35989717223649,99.10404587843875,4,1.1,99.10404587843875
Candidate_006,11.0203,"Computer Programming, Vendor/Product Certification.",90.09458716221704,2,1,90.35989717223649,99.10404587843875,5,1.1,99.10404587843875
Candidate_007,12.05,"Cooking and Related Culinary Arts, General.",100.00000000000003,1,1,100.00000000000003,100.0,1,1.0,100.0
