selected_occupation,noc21_code,NOC21 Code,NOC21 Code Name,posting_count,total_vacancies,province_count,posting_demand_score,vacancy_demand_score,geographic_demand_score,demand_score,demand_percentage,demand_rank
"Driver, Truck",73300,73300,Transport truck drivers,1423,3705,12,0.7585287846481876,1.0,0.9230769230769231,0.8880268984746598,88.8,1
Retail Sales Associate,64100,64100,Retail salespersons and visual merchandisers,1876,2449,13,1.0,0.6609986504723346,1.0,0.8643994601889338,86.44,2
Inside Sales Representative,64100,64100,Retail salespersons and visual merchandisers,1876,2449,13,1.0,0.6609986504723346,1.0,0.8643994601889338,86.44,2
Food Service Supervisor,62020,62020,Food service supervisors,1061,2524,12,0.5655650319829424,0.6812415654520918,0.9230769230769231,0.6833380235893983,68.33,3
Restaurant Manager,60030,60030,Restaurant and food service managers,1139,1473,12,0.6071428571428571,0.39757085020242916,0.9230769230769231,0.5865008675534992,58.65,4
Office Administrator,13100,13100,Administrative officers,676,1709,13,0.3603411513859275,0.4612685560053981,1.0,0.5286438829565303,52.86,5
Office Manager,13100,13100,Administrative officers,676,1709,13,0.3603411513859275,0.4612685560053981,1.0,0.5286438829565303,52.86,5
Continuing Care Assistant,33102,33102,"Nurse aides, orderlies and patient service associates",819,1172,9,0.43656716417910446,0.3163292847503374,0.6923076923076923,0.4396201180333152,43.96,6
Administrative Assistant,13110,13110,Administrative assistants,812,890,11,0.43283582089552236,0.24021592442645073,0.8461538461538461,0.4384514673595585,43.85,7
Delivery Driver,75201,75201,Delivery service drivers and door-to-door distributors,557,622,12,0.296908315565032,0.1678812415654521,0.9230769230769231,0.3705312074675783,37.05,8
Secondary School Teacher,41220,41220,Secondary school teachers,681,740,9,0.36300639658848616,0.19973009446693657,0.6923076923076923,0.3635561348837076,36.36,9
Licensed Practical Nurse (L.P.N.),32101,32101,Licensed practical nurses,437,527,10,0.23294243070362472,0.14224021592442646,0.7692307692307693,0.3039192124973743,30.39,10
Bookkeeper,12200,12200,Accounting technicians and bookkeepers,396,422,11,0.21108742004264391,0.11390013495276653,0.8461538461538461,0.29922579122893345,29.92,11
Information Technology (IT) Analyst,21222,21222,Information systems specialists,347,357,10,0.1849680170575693,0.09635627530364373,0.7692307692307693,0.26637587079063907,26.64,12
Software Developer,21232,21232,Software developers and programmers,323,344,8,0.17217484008528786,0.09284750337381917,0.6153846153846154,0.2290858604605659,22.91,13
