candidate_id,selected_occupation,education_score,education_percentage
Candidate_001,Administrative Assistant,0.0,0.0
Candidate_001,Bookkeeper,1.0,100.0
Candidate_001,Continuing Care Assistant,0.0,0.0
Candidate_001,Delivery Driver,0.0,0.0
Candidate_001,"Driver, Truck",0.0,0.0
Candidate_001,Food Service Supervisor,0.0,0.0
Candidate_001,Information Technology (IT) Analyst,1.0,100.0
Candidate_001,Inside Sales Representative,0.0,0.0
Candidate_001,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_001,Office Administrator,0.0,0.0
Candidate_001,Office Manager,0.0,0.0
Candidate_001,Restaurant Manager,0.0,0.0
Candidate_001,Retail Sales Associate,0.0,0.0
Candidate_001,Secondary School Teacher,1.0,100.0
Candidate_001,Software Developer,1.0,100.0
Candidate_002,Administrative Assistant,0.0,0.0
Candidate_002,Bookkeeper,0.0,0.0
Candidate_002,Continuing Care Assistant,0.0,0.0
Candidate_002,Delivery Driver,0.0,0.0
Candidate_002,"Driver, Truck",0.0,0.0
Candidate_002,Food Service Supervisor,0.0,0.0
Candidate_002,Information Technology (IT) Analyst,1.0,100.0
Candidate_002,Inside Sales Representative,0.0,0.0
Candidate_002,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_002,Office Administrator,1.0,100.0
Candidate_002,Office Manager,1.0,100.0
Candidate_002,Restaurant Manager,0.0,0.0
Candidate_002,Retail Sales Associate,0.0,0.0
Candidate_002,Secondary School Teacher,1.0,100.0
Candidate_002,Software Developer,1.0,100.0
Candidate_003,Administrative Assistant,1.0,100.0
Candidate_003,Bookkeeper,0.0,0.0
Candidate_003,Continuing Care Assistant,0.0,0.0
Candidate_003,Delivery Driver,0.0,0.0
Candidate_003,"Driver, Truck",1.0,100.0
Candidate_003,Food Service Supervisor,0.0,0.0
Candidate_003,Information Technology (IT) Analyst,0.0,0.0
Candidate_003,Inside Sales Representative,0.0,0.0
Candidate_003,Licensed Practical Nurse (L.P.N.),0.0,0.0
Candidate_003,Office Administrator,1.0,100.0
Candidate_003,Office Manager,1.0,100.0
Candidate_003,Restaurant Manager,0.0,0.0
Candidate_003,Retail Sales Associate,0.0,0.0
Candidate_003,Secondary School Teacher,0.0,0.0
Candidate_003,Software Developer,0.0,0.0
Candidate_004,Administrative Assistant,0.0,0.0
Candidate_004,Bookkeeper,1.0,100.0
Candidate_004,Continuing Care Assistant,0.0,0.0
Candidate_004,Delivery Driver,0.0,0.0
Candidate_004,"Driver, Truck",0.0,0.0
Candidate_004,Food Service Supervisor,0.0,0.0
Candidate_004,Information Technology (IT) Analyst,1.0,100.0
Candidate_004,Inside Sales Representative,0.0,0.0
Candidate_004,Licensed Practical Nurse (L.P.N.),1.0,100.0
Candidate_004,Office Administrator,0.0,0.0
Candidate_004,Office Manager,0.0,0.0
Candidate_004,Restaurant Manager,0.0,0.0
Candidate_004,Retail Sales Associate,0.0,0.0
Candidate_004,Secondary School Teacher,1.0,100.0
Candidate_004,Software Developer,1.0,100.0
Candidate_005,Administrative Assistant,0.0,0.0
Candidate_005,Bookkeeper,1.0,100.0
Candidate_005,Continuing Care Assistant,0.0,0.0
Candidate_005,Delivery Driver,0.0,0.0
Candidate_005,"Driver, Truck",0.0,0.0
