candidate_id,selected_occupation,baseline_recommendation_percentage,baseline_occupation_rank,weighted_skill_match_percentage,weighted_skill_rank,hybrid_recommendation_score,hybrid_occupation_rank,rank_change,ranking_change_status,recommendation_explanation
Candidate_001,Software Developer,69.47300771208226,1,68.63593523560694,1,69.0544714738446,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_001,Information Technology (IT) Analyst,67.39556847075916,2,65.41061300598243,2,66.40309073837079,2,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_001,Secondary School Teacher,66.88963210702342,3,64.87505030917274,3,65.88234120809807,3,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_001,Bookkeeper,66.8201133144476,4,64.8491979421497,4,65.83465562829865,4,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_001,Licensed Practical Nurse (L.P.N.),66.1529514393719,5,62.15501811779739,6,64.15398477858464,5,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_002,Office Manager,54.67625899280575,1,56.572180493216095,2,55.624219743010926,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_002,Software Developer,53.82390745501285,3,57.02508223130063,1,55.42449484315674,2,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_002,Office Administrator,53.82775119617226,2,56.572180493216095,2,55.19996584469418,3,-1,Decreased,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_002,Secondary School Teacher,53.65105908584169,4,56.08649518861366,3,54.868777137227674,4,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_002,Administrative Assistant,52.537815126050425,6,54.65749801639777,4,53.59765657122409,5,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_003,Administrative Assistant,89.91596638655463,1,96.57233536101559,1,93.24415087378512,1,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_003,Office Manager,89.20863309352518,2,94.03761839023187,3,91.62312574187852,2,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_003,Office Administrator,88.2177033492823,3,94.03761839023187,3,91.12766086975708,3,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_003,"Driver, Truck",88.11881188118811,4,94.1291279569053,2,91.1239699190467,4,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_003,Inside Sales Representative,87.45668745668745,5,93.68613081517594,4,90.5714091359317,5,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_004,Software Developer,79.11311053984575,1,78.06973645553221,1,78.59142349768898,1,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_004,Secondary School Teacher,77.70345596432553,2,76.23211737587354,2,76.96778667009954,2,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_004,Information Technology (IT) Analyst,77.56629131856157,3,75.91484733120969,3,76.74056932488563,3,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_004,Bookkeeper,77.44334277620398,4,74.78650320719628,5,76.11492299170013,4,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_004,Licensed Practical Nurse (L.P.N.),77.43530095958127,5,74.7700120785316,6,76.10265651905644,5,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_005,Software Developer,52.217223650385606,1,54.48469433136361,1,53.35095899087461,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_005,Bookkeeper,51.80594900849857,2,53.49858703940762,2,52.6522680239531,2,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_005,Secondary School Teacher,51.22630992196208,4,52.1898210822875,3,51.70806550212479,3,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_005,Office Manager,51.798561151079134,3,51.447488861679844,6,51.62302500637949,4,-1,Decreased,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_005,Office Administrator,50.83732057416268,5,51.447488861679844,6,51.142404717921266,5,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_006,Software Developer,90.35989717223649,1,90.56619878007474,1,90.46304797615562,1,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_006,Bookkeeper,89.37677053824362,5,90.06269473495345,2,89.71973263659854,2,3,Improved,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_006,Information Technology (IT) Analyst,89.82927715219759,2,89.49576567477276,3,89.66252141348517,3,-1,Decreased,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_006,Administrative Assistant,89.5126050420168,4,89.27267918540068,4,89.39264211370875,4,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_006,Inside Sales Representative,89.6049896049896,3,88.72179092176465,5,89.16339026337712,5,-2,Decreased,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_007,Food Service Supervisor,100.00000000000004,1,100.0,2,100.00000000000003,1,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_007,Administrative Assistant,100.00000000000004,1,99.99999999999999,3,100.00000000000001,2,-1,Decreased,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_007,Bookkeeper,100.0,2,100.00000000000003,1,100.00000000000001,2,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_007,Software Developer,100.0,2,100.00000000000003,1,100.00000000000001,2,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_007,Continuing Care Assistant,100.0,2,100.0,2,100.0,3,-1,Decreased,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_008,Software Developer,68.66966580976863,1,67.4993868029207,1,68.08452630634466,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_008,Licensed Practical Nurse (L.P.N.),67.98487932538528,2,66.5279992717117,2,67.25643929854849,2,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_008,Secondary School Teacher,67.61426978818284,3,66.29834254143645,3,66.95630616480965,3,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_008,Restaurant Manager,67.14503816793894,4,65.77457494086637,4,66.45980655440266,4,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_008,Information Technology (IT) Analyst,66.93788594260806,5,65.41061300598243,5,66.17424947429524,5,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_009,Administrative Assistant,25.647058823529413,1,29.81158423697434,1,27.729321530251877,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_009,Delivery Driver,22.82270606531882,3,25.59893788453594,2,24.210821974927377,2,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_009,"Driver, Truck",22.77227722772277,4,25.302521664454673,3,24.03739944608872,3,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_009,Bookkeeper,22.556657223796037,5,25.213496792803735,4,23.885077008299888,4,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_009,Information Technology (IT) Analyst,22.44097348347257,6,24.06961386061689,5,23.25529367204473,5,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_010,Office Manager,97.12230215827336,1,100.0,1,98.56115107913668,1,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_010,Food Service Supervisor,96.77419354838712,2,100.0,1,98.38709677419357,2,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_010,Administrative Assistant,96.63865546218489,3,99.99999999999999,2,98.31932773109244,3,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_010,Inside Sales Representative,96.53499653499654,4,100.0,1,98.26749826749827,4,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_010,Retail Sales Associate,96.53499653499654,4,100.0,1,98.26749826749827,4,0,Unchanged,Strong match based on both baseline candidate features and weighted O*NET skill alignment.
Candidate_011,Office Manager,66.18705035971223,1,69.18680604776685,1,67.68692820373954,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_011,Office Administrator,64.47368421052633,3,69.18680604776685,1,66.83024512914659,2,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_011,"Driver, Truck",64.83168316831683,2,67.14809899289561,3,65.98989108060621,3,-1,Decreased,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_011,Secondary School Teacher,64.4648829431438,4,67.44356225531448,2,65.95422259922914,4,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_011,Software Developer,63.46401028277635,5,66.45888345122589,4,64.96144686700111,5,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_012,Software Developer,68.66966580976863,1,67.4993868029207,1,68.08452630634466,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_012,Licensed Practical Nurse (L.P.N.),67.98487932538528,2,66.5279992717117,2,67.25643929854849,2,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_012,Secondary School Teacher,67.61426978818284,3,66.29834254143645,3,66.95630616480965,3,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_012,Restaurant Manager,67.14503816793894,4,65.77457494086637,4,66.45980655440266,4,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_012,Information Technology (IT) Analyst,66.93788594260806,5,65.41061300598243,5,66.17424947429524,5,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_013,Software Developer,52.217223650385606,1,54.48469433136361,1,53.35095899087461,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_013,Bookkeeper,51.80594900849857,2,53.49858703940762,2,52.6522680239531,2,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_013,Secondary School Teacher,51.22630992196208,4,52.1898210822875,3,51.70806550212479,3,1,Improved,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_013,Office Manager,51.798561151079134,3,51.447488861679844,6,51.62302500637949,4,-1,Decreased,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_013,Office Administrator,50.83732057416268,5,51.447488861679844,6,51.142404717921266,5,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
Candidate_014,Software Developer,59.029562982005146,1,58.06558558299544,1,58.54757428250029,1,0,Unchanged,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.
