candidate_id,selected_occupation,baseline_recommendation_percentage,baseline_occupation_rank,weighted_skill_match_percentage,weighted_skill_rank,hybrid_recommendation_score,hybrid_occupation_rank,rank_change,ranking_change_status
Candidate_001,Software Developer,69.47300771208226,1,68.63593523560694,1,69.0544714738446,1,0,Unchanged
Candidate_001,Information Technology (IT) Analyst,67.39556847075916,2,65.41061300598243,2,66.40309073837079,2,0,Unchanged
Candidate_001,Secondary School Teacher,66.88963210702342,3,64.87505030917274,3,65.88234120809807,3,0,Unchanged
Candidate_001,Bookkeeper,66.8201133144476,4,64.8491979421497,4,65.83465562829865,4,0,Unchanged
Candidate_001,Licensed Practical Nurse (L.P.N.),66.1529514393719,5,62.15501811779739,6,64.15398477858464,5,0,Unchanged
Candidate_001,Office Administrator,65.61004784688997,6,62.534562102984225,5,64.0723049749371,6,0,Unchanged
Candidate_001,Office Manager,65.46762589928056,7,62.534562102984225,5,64.0010940011324,7,0,Unchanged
Candidate_001,Restaurant Manager,64.45801526717557,8,60.70714747189262,7,62.5825813695341,8,0,Unchanged
Candidate_001,Continuing Care Assistant,63.95304080061586,10,60.10282475195725,8,62.027932776286555,9,1,Improved
Candidate_001,"Driver, Truck",64.35643564356435,9,58.40424701381841,10,61.38034132869139,10,-1,Decreased
Candidate_001,Food Service Supervisor,62.87096774193549,13,59.02505004389135,9,60.94800889291342,11,2,Improved
Candidate_001,Delivery Driver,63.60808709175739,12,58.13473855498056,11,60.87141282336897,12,0,Unchanged
Candidate_001,Inside Sales Representative,63.61746361746362,11,57.67960487710248,13,60.64853424728305,13,-2,Decreased
Candidate_001,Retail Sales Associate,63.61746361746362,11,57.67960487710248,13,60.64853424728305,13,-2,Decreased
Candidate_001,Administrative Assistant,62.6218487394958,14,58.08516265538216,12,60.35350569743898,14,0,Unchanged
Candidate_002,Office Manager,54.67625899280575,1,56.572180493216095,2,55.624219743010926,1,0,Unchanged
Candidate_002,Software Developer,53.82390745501285,3,57.02508223130063,1,55.42449484315674,2,1,Improved
Candidate_002,Office Administrator,53.82775119617226,2,56.572180493216095,2,55.19996584469418,3,-1,Decreased
Candidate_002,Secondary School Teacher,53.65105908584169,4,56.08649518861366,3,54.868777137227674,4,0,Unchanged
Candidate_002,Administrative Assistant,52.537815126050425,6,54.65749801639777,4,53.59765657122409,5,1,Improved
Candidate_002,Information Technology (IT) Analyst,52.86596440247002,5,54.24597933338513,5,53.555971867927575,6,-1,Decreased
Candidate_002,"Driver, Truck",52.47524752475247,7,52.5333749707237,7,52.50431124773809,7,0,Unchanged
Candidate_002,Continuing Care Assistant,50.73133179368745,10,52.74694115000247,6,51.73913647184496,8,2,Improved
Candidate_002,Restaurant Manager,50.7175572519084,11,52.43217652701816,8,51.57486688946328,9,2,Improved
Candidate_002,Bookkeeper,50.88526912181303,9,51.55483172714735,9,51.22005042448019,10,-1,Decreased
Candidate_002,Inside Sales Representative,51.07415107415108,8,51.365735692278406,10,51.21994338321474,11,-3,Decreased
Candidate_002,Retail Sales Associate,51.07415107415108,8,51.365735692278406,10,51.21994338321474,11,-3,Decreased
Candidate_002,Delivery Driver,50.5054432348367,12,50.40160452597422,11,50.453523880405456,12,0,Unchanged
Candidate_002,Food Service Supervisor,49.96774193548388,14,50.30491408728275,12,50.13632801138331,13,1,Improved
Candidate_002,Licensed Practical Nurse (L.P.N.),50.15993021227101,13,49.833615382489555,13,49.99677279738028,14,-1,Decreased
Candidate_003,Administrative Assistant,89.91596638655463,1,96.57233536101559,1,93.24415087378512,1,0,Unchanged
Candidate_003,Office Manager,89.20863309352518,2,94.03761839023187,3,91.62312574187852,2,0,Unchanged
Candidate_003,Office Administrator,88.2177033492823,3,94.03761839023187,3,91.12766086975708,3,0,Unchanged
Candidate_003,"Driver, Truck",88.11881188118811,4,94.1291279569053,2,91.1239699190467,4,0,Unchanged
Candidate_003,Inside Sales Representative,87.45668745668745,5,93.68613081517594,4,90.5714091359317,5,0,Unchanged
Candidate_003,Retail Sales Associate,87.45668745668745,5,93.68613081517594,4,90.5714091359317,5,0,Unchanged
Candidate_003,Continuing Care Assistant,86.7782909930716,8,92.64411639804521,5,89.7112036955584,6,2,Improved
Candidate_003,Delivery Driver,86.89735614307932,7,92.26686597099365,6,89.58211105703649,7,0,Unchanged
Candidate_003,Food Service Supervisor,87.0967741935484,6,91.2798640433914,8,89.1883191184699,8,-2,Decreased
Candidate_003,Restaurant Manager,86.25954198473282,10,91.72502905512555,7,88.99228551992918,9,1,Improved
Candidate_003,Secondary School Teacher,86.76142697881826,9,91.21144487944093,9,88.9864359291296,10,-1,Decreased
Candidate_003,Information Technology (IT) Analyst,85.47039593171087,11,88.83536632740268,10,87.15288112955677,11,0,Unchanged
Candidate_003,Software Developer,84.35089974293058,12,88.38914699569371,11,86.37002336931215,12,0,Unchanged
Candidate_003,Licensed Practical Nurse (L.P.N.),84.0069787728991,14,87.67859726469217,12,85.84278801879563,13,1,Improved
Candidate_003,Bookkeeper,84.06515580736544,13,86.70563378499767,13,85.38539479618156,14,-1,Decreased
Candidate_004,Software Developer,79.11311053984575,1,78.06973645553221,1,78.59142349768898,1,0,Unchanged
Candidate_004,Secondary School Teacher,77.70345596432553,2,76.23211737587354,2,76.96778667009954,2,0,Unchanged
Candidate_004,Information Technology (IT) Analyst,77.56629131856157,3,75.91484733120969,3,76.74056932488563,3,0,Unchanged
Candidate_004,Bookkeeper,77.44334277620398,4,74.78650320719628,5,76.11492299170013,4,0,Unchanged
Candidate_004,Licensed Practical Nurse (L.P.N.),77.43530095958127,5,74.7700120785316,6,76.10265651905644,5,0,Unchanged
Candidate_004,Office Manager,76.97841726618705,6,75.149187657535,4,76.06380246186103,6,0,Unchanged
Candidate_004,Office Administrator,76.25598086124403,9,75.149187657535,4,75.70258425938951,7,2,Improved
Candidate_004,Restaurant Manager,76.30534351145039,8,74.10400756056193,7,75.20467553600616,8,0,Unchanged
Candidate_004,"Driver, Truck",76.7128712871287,7,73.01897103599032,10,74.86592116155951,9,-2,Decreased
Candidate_004,Food Service Supervisor,75.38709677419355,11,74.0624400490653,8,74.72476841162943,10,1,Improved
Candidate_004,Continuing Care Assistant,75.25019245573519,12,73.08238626908827,9,74.16628936241173,11,1,Improved
Candidate_004,Delivery Driver,75.73872472783826,10,71.66346581394689,11,73.70109527089258,12,-2,Decreased
Candidate_004,Inside Sales Representative,74.01247401247402,13,68.95781395533783,12,71.48514398390591,13,0,Unchanged
Candidate_004,Retail Sales Associate,74.01247401247402,13,68.95781395533783,12,71.48514398390591,13,0,Unchanged
Candidate_004,Administrative Assistant,73.10924369747899,14,68.81248346998147,13,70.96086358373023,14,0,Unchanged
Candidate_005,Software Developer,52.217223650385606,1,54.48469433136361,1,53.35095899087461,1,0,Unchanged
Candidate_005,Bookkeeper,51.80594900849857,2,53.49858703940762,2,52.6522680239531,2,0,Unchanged
Candidate_005,Secondary School Teacher,51.22630992196208,4,52.1898210822875,3,51.70806550212479,3,1,Improved
Candidate_005,Office Manager,51.798561151079134,3,51.447488861679844,6,51.62302500637949,4,-1,Decreased
Candidate_005,Office Administrator,50.83732057416268,5,51.447488861679844,6,51.142404717921266,5,0,Unchanged
Candidate_005,Information Technology (IT) Analyst,50.22884126407556,7,51.61992075207831,4,50.924381008076935,6,1,Improved
Candidate_005,Restaurant Manager,50.351145038167935,6,51.48390265954513,5,50.91752384885653,7,-1,Decreased
Candidate_005,Food Service Supervisor,49.96774193548388,8,49.956108649018404,7,49.96192529225114,8,0,Unchanged
Candidate_005,Licensed Practical Nurse (L.P.N.),49.084036056993305,11,48.33347151303523,8,48.70875378501427,9,2,Improved
Candidate_005,"Driver, Truck",49.50495049504951,10,47.1543446014521,10,48.329647548250804,10,0,Unchanged
Candidate_005,Inside Sales Representative,49.75744975744976,9,46.835173071106944,12,48.29631141427835,11,-2,Decreased
Candidate_005,Retail Sales Associate,49.75744975744976,9,46.835173071106944,12,48.29631141427835,11,-2,Decreased
Candidate_005,Continuing Care Assistant,47.84449576597383,13,47.9852392432716,9,47.91486750462272,12,1,Improved
Candidate_005,Delivery Driver,48.56143079315707,12,47.082493700784916,11,47.821962246971,13,-1,Decreased
Candidate_005,Administrative Assistant,46.65546218487395,14,44.19994710394074,13,45.42770464440734,14,0,Unchanged
Candidate_006,Software Developer,90.35989717223649,1,90.56619878007474,1,90.46304797615562,1,0,Unchanged
Candidate_006,Bookkeeper,89.37677053824362,5,90.06269473495345,2,89.71973263659854,2,3,Improved
