candidate_id,selected_occupation,semantic_similarity_score,semantic_normalized_score,semantic_percentage,semantic_rank
Candidate_001,Administrative Assistant,0.4705461263656616,0.7107274951524262,71.07,3
Candidate_001,Bookkeeper,0.4637681841850281,0.65460003104619,65.46,4
Candidate_001,Continuing Care Assistant,0.4491218030452728,0.5333148076259117,53.33,9
Candidate_001,Delivery Driver,0.38471880555152893,0.0,0.0,15
Candidate_001,"Driver, Truck",0.4125099778175354,0.23013592949898903,23.01,13
Candidate_001,Food Service Supervisor,0.4521232843399048,0.5581697752754362,55.82,7
Candidate_001,Information Technology (IT) Analyst,0.472991943359375,0.7309810620709092,73.1,2
Candidate_001,Inside Sales Representative,0.4169851839542389,0.2671946657808549,26.72,11
Candidate_001,Licensed Practical Nurse (L.P.N.),0.4085945785045624,0.19771289776696946,19.77,14
Candidate_001,Office Administrator,0.45627740025520325,0.592569595414838,59.26,5
Candidate_001,Office Manager,0.4497096836566925,0.5381829884154277,53.82,8
Candidate_001,Restaurant Manager,0.4411966800689697,0.46768765361139003,46.77,10
Candidate_001,Retail Sales Associate,0.41468751430511475,0.24816789226725292,24.82,12
Candidate_001,Secondary School Teacher,0.45415470004081726,0.5749917263631265,57.5,6
Candidate_001,Software Developer,0.5054786205291748,1.0,100.0,1
Candidate_002,Administrative Assistant,0.430851548910141,0.4584755631199599,45.85,4
Candidate_002,Bookkeeper,0.4048367142677307,0.29844862898429786,29.84,9
Candidate_002,Continuing Care Assistant,0.4086941182613373,0.3221769571979699,32.22,8
Candidate_002,Delivery Driver,0.3563193082809448,0.0,0.0,15
Candidate_002,"Driver, Truck",0.3801620304584503,0.14666546160914046,14.67,13
Candidate_002,Food Service Supervisor,0.4168490171432495,0.37234077658013476,37.23,5
Candidate_002,Information Technology (IT) Analyst,0.47961124777793884,0.7584146258296381,75.84,2
Candidate_002,Inside Sales Representative,0.39163583517074585,0.21724510650093093,21.72,11
Candidate_002,Licensed Practical Nurse (L.P.N.),0.3987917900085449,0.2612640491252822,26.13,10
Candidate_002,Office Administrator,0.41645339131355286,0.36990713479607273,36.99,6
Candidate_002,Office Manager,0.4099811613559723,0.33009403848508867,33.01,7
Candidate_002,Restaurant Manager,0.37875697016716003,0.13802241260338624,13.8,14
Candidate_002,Retail Sales Associate,0.3868086040019989,0.18755101023174503,18.76,12
Candidate_002,Secondary School Teacher,0.43228602409362793,0.4672995540798286,46.73,3
Candidate_002,Software Developer,0.5188846588134766,1.0,100.0,1
Candidate_003,Administrative Assistant,0.49100974202156067,0.5875608276251357,58.76,3
Candidate_003,Bookkeeper,0.4418739378452301,0.3131939158562696,31.32,11
Candidate_003,Continuing Care Assistant,0.4467654228210449,0.34050722942211553,34.05,9
Candidate_003,Delivery Driver,0.38578468561172485,0.0,0.0,15
Candidate_003,"Driver, Truck",0.4103018641471863,0.13690022322461215,13.69,14
Candidate_003,Food Service Supervisor,0.44776830077171326,0.34610714847947993,34.61,8
Candidate_003,Information Technology (IT) Analyst,0.5648726224899292,1.0,100.0,1
Candidate_003,Inside Sales Representative,0.4494684636592865,0.3556006013452054,35.56,7
Candidate_003,Licensed Practical Nurse (L.P.N.),0.4244219958782196,0.2157449068876791,21.57,12
Candidate_003,Office Administrator,0.48598533868789673,0.5595053180176909,55.95,4
Candidate_003,Office Manager,0.4675544202327728,0.456589852149889,45.66,6
Candidate_003,Restaurant Manager,0.4175735414028168,0.17750417110847144,17.75,13
Candidate_003,Retail Sales Associate,0.44384199380874634,0.3241832432103207,32.42,10
Candidate_003,Secondary School Teacher,0.46760502457618713,0.45687241916303584,45.69,5
Candidate_003,Software Developer,0.5592961311340332,0.9688617142332233,96.89,2
Candidate_004,Administrative Assistant,0.43828800320625305,0.34101941166710276,34.1,8
Candidate_004,Bookkeeper,0.4474591612815857,0.4023904414251709,40.24,4
Candidate_004,Continuing Care Assistant,0.4209247827529907,0.22482920860003702,22.48,11
Candidate_004,Delivery Driver,0.38732677698135376,0.0,0.0,15
Candidate_004,"Driver, Truck",0.40418604016304016,0.11281785069273821,11.28,14
Candidate_004,Food Service Supervisor,0.4666491746902466,0.5308050728475976,53.08,3
Candidate_004,Information Technology (IT) Analyst,0.5095129013061523,0.8176381009208855,81.76,2
Candidate_004,Inside Sales Representative,0.4334857761859894,0.30888414424015775,30.89,9
Candidate_004,Licensed Practical Nurse (L.P.N.),0.40781083703041077,0.1370740585333478,13.71,13
Candidate_004,Office Administrator,0.4395100474357605,0.34919701717327073,34.92,7
Candidate_004,Office Manager,0.44266143441200256,0.37028528784852294,37.03,6
Candidate_004,Restaurant Manager,0.4123792350292206,0.16764460232167813,16.76,12
Candidate_004,Retail Sales Associate,0.4304797053337097,0.28876829167118706,28.88,10
Candidate_004,Secondary School Teacher,0.44333088397979736,0.37476507208178844,37.48,5
Candidate_004,Software Developer,0.5367646813392639,1.0,100.0,1
Candidate_005,Administrative Assistant,0.4546262323856354,0.49046360497589675,49.05,3
Candidate_005,Bookkeeper,0.42492368817329407,0.32276089611101794,32.28,9
