candidate_id,selected_occupation,onet_soc_code,onet_title,skill,importance,level,candidate_evidence,skill_gap_priority,skill_priority_rank,posting_count,total_vacancies,province_count,demand_score,demand_percentage,demand_normalized,prescriptive_priority_score,prescriptive_priority_percentage,prescriptive_rank
Candidate_001,Administrative Assistant,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Active Listening,4.0,3.75,0.0,0.775,1,812,890,11,0.4384514673595585,43.85,0.4385,0.64,64.04,1
Candidate_001,Administrative Assistant,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Speaking,4.0,3.62,0.0,0.762,2,812,890,11,0.4384514673595585,43.85,0.4385,0.633,63.26,2
Candidate_001,Administrative Assistant,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Monitoring,3.12,3.25,0.0,0.637,3,812,890,11,0.4384514673595585,43.85,0.4385,0.558,55.76,3
Candidate_001,Bookkeeper,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Active Listening,3.25,3.75,0.0,0.7,1,396,422,11,0.2992257912289334,29.92,0.2992,0.54,53.97,1
Candidate_001,Bookkeeper,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Speaking,3.12,3.12,0.0,0.624,2,396,422,11,0.2992257912289334,29.92,0.2992,0.494,49.41,2
Candidate_001,Bookkeeper,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Monitoring,3.0,2.88,0.0,0.588,3,396,422,11,0.2992257912289334,29.92,0.2992,0.472,47.25,3
Candidate_001,Continuing Care Assistant,31-1131.00,Nursing Assistants,Active Listening,3.62,3.0,0.0,0.6619999999999999,1,819,1172,9,0.4396201180333152,43.96,0.4396,0.573,57.3,1
Candidate_001,Continuing Care Assistant,31-1131.00,Nursing Assistants,Monitoring,3.25,3.0,0.0,0.625,2,819,1172,9,0.4396201180333152,43.96,0.4396,0.551,55.08,2
Candidate_001,Continuing Care Assistant,31-1131.00,Nursing Assistants,Speaking,3.12,3.0,0.0,0.612,3,819,1172,9,0.4396201180333152,43.96,0.4396,0.543,54.3,3
Candidate_001,Delivery Driver,53-3033.00,Light Truck Drivers,Active Listening,3.12,2.88,0.0,0.6,1,557,622,12,0.3705312074675783,37.05,0.3705,0.508,50.82,1
Candidate_001,Delivery Driver,53-3033.00,Light Truck Drivers,Speaking,3.12,2.88,0.0,0.6,1,557,622,12,0.3705312074675783,37.05,0.3705,0.508,50.82,1
Candidate_001,Delivery Driver,53-3033.00,Light Truck Drivers,Monitoring,3.12,2.75,0.0,0.587,2,557,622,12,0.3705312074675783,37.05,0.3705,0.5,50.04,2
Candidate_001,"Driver, Truck",53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Monitoring,3.12,3.0,0.0,0.612,1,1423,3705,12,0.8880268984746598,88.8,0.888,0.722,72.24,1
Candidate_001,"Driver, Truck",53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Active Listening,2.88,3.0,0.0,0.588,2,1423,3705,12,0.8880268984746598,88.8,0.888,0.708,70.8,2
Candidate_001,"Driver, Truck",53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Speaking,3.0,2.88,0.0,0.588,2,1423,3705,12,0.8880268984746598,88.8,0.888,0.708,70.8,2
Candidate_001,Food Service Supervisor,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Monitoring,3.88,4.0,0.0,0.788,1,1061,2524,12,0.6833380235893983,68.33,0.6833,0.746,74.61,1
