candidate_id,recommended_occupation,system_rank,final_hybrid_score,final_hybrid_percentage,skill_percentage,tfidf_percentage,semantic_percentage,demand_percentage,education_percentage,human_relevant,human_relevance_grade,reviewer_notes
Candidate_001,Software Developer,1,0.8458171720921132,84.58,100.0,39.58,100.0,22.91,100.0,,,
Candidate_001,Information Technology (IT) Analyst,2,0.6529899715245859,65.3,69.68,100.0,73.1,26.64,100.0,,,
Candidate_001,Bookkeeper,3,0.6034287504596646,60.34,61.28,23.08,65.46,29.92,100.0,,,
Candidate_001,Secondary School Teacher,4,0.5919833667651913,59.2,62.29,5.54,57.5,36.36,100.0,,,
Candidate_001,Office Administrator,5,0.4657840128858145,46.58,43.62,3.15,59.26,52.86,0.0,,,
Candidate_001,Office Manager,6,0.4394728976320363,43.95,41.54,5.51,53.82,52.86,0.0,,,
Candidate_001,Licensed Practical Nurse (L.P.N.),7,0.4103741416787926,41.04,51.54,2.86,19.77,30.39,100.0,,,
Candidate_001,Restaurant Manager,8,0.3747937091722401,37.48,26.8,0.0,46.77,58.65,0.0,,,
Candidate_001,"Driver, Truck",9,0.346766490167894,34.68,25.32,1.61,23.01,88.8,0.0,,,
Candidate_001,Food Service Supervisor,10,0.3447535809731337,34.48,3.64,4.94,55.82,68.33,0.0,,,
Candidate_001,Continuing Care Assistant,11,0.3425898128097935,34.26,19.43,2.55,53.33,43.96,0.0,,,
Candidate_001,Administrative Assistant,12,0.3364449167752608,33.64,0.0,41.64,71.07,43.85,0.0,,,
Candidate_001,Inside Sales Representative,13,0.3172602527050584,31.73,14.53,4.11,26.72,86.44,0.0,,,
Candidate_001,Retail Sales Associate,14,0.3106008819752977,31.06,14.53,4.08,24.82,86.44,0.0,,,
Candidate_001,Delivery Driver,15,0.124489457628587,12.45,14.4,10.7,0.0,37.05,0.0,,,
Candidate_002,Software Developer,1,0.7824589991056498,78.25,81.9,100.0,100.0,22.91,100.0,,,
Candidate_002,Office Manager,2,0.671261690061087,67.13,100.0,22.68,33.01,52.86,100.0,,,
Candidate_002,Information Technology (IT) Analyst,3,0.6341549727581229,63.42,61.55,62.9,75.84,26.64,100.0,,,
Candidate_002,Office Administrator,4,0.6221238190657665,62.21,81.98,8.74,36.99,52.86,100.0,,,
Candidate_002,Secondary School Teacher,5,0.6100594939571804,61.01,78.23,24.15,46.73,36.36,100.0,,,
Candidate_002,Administrative Assistant,6,0.4391989744025761,43.92,54.58,32.69,45.85,43.85,0.0,,,
Candidate_002,"Driver, Truck",7,0.4153296636498425,41.53,53.25,13.01,14.67,88.8,0.0,,,
Candidate_002,Inside Sales Representative,8,0.3311588131531706,33.12,23.5,31.85,21.72,86.44,0.0,,,
Candidate_002,Retail Sales Associate,9,0.3207658794589555,32.08,23.5,31.75,18.76,86.44,0.0,,,
Candidate_002,Food Service Supervisor,10,0.2669868765209268,26.7,0.0,25.03,37.23,68.33,0.0,,,
Candidate_002,Continuing Care Assistant,11,0.2574461757214092,25.74,16.22,0.0,32.22,43.96,0.0,,,
Candidate_002,Bookkeeper,12,0.2325050777969796,23.25,19.49,61.55,29.84,29.92,0.0,,,
Candidate_002,Restaurant Manager,13,0.2213443267328486,22.13,15.92,19.76,13.8,58.65,0.0,,,
Candidate_002,Licensed Practical Nurse (L.P.N.),14,0.1665122644070361,16.65,4.08,28.17,26.13,30.39,0.0,,,
Candidate_002,Delivery Driver,15,0.114075397914185,11.41,11.42,51.44,0.0,37.05,0.0,,,
Candidate_003,Administrative Assistant,1,0.7433365831407092,74.33,100.0,48.34,58.76,43.85,100.0,,,
Candidate_003,Office Manager,2,0.6736385974099597,67.36,88.03,36.1,45.66,52.86,100.0,,,
