candidate_id,recommended_occupation,system_rank,final_hybrid_score,final_hybrid_percentage,skill_percentage,tfidf_percentage,semantic_percentage,demand_percentage,education_percentage,human_relevant,human_relevance_grade,reviewer_notes
Candidate_001,Software Developer,1,0.8458171720921132,84.58,100.0,39.58,100.0,22.91,100.0,,,
Candidate_001,Information Technology (IT) Analyst,2,0.6529899715245859,65.3,69.68,100.0,73.1,26.64,100.0,,,
Candidate_001,Bookkeeper,3,0.6034287504596646,60.34,61.28,23.08,65.46,29.92,100.0,,,
Candidate_001,Secondary School Teacher,4,0.5919833667651913,59.2,62.29,5.54,57.5,36.36,100.0,,,
Candidate_001,Office Administrator,5,0.4657840128858145,46.58,43.62,3.15,59.26,52.86,0.0,,,
Candidate_002,Software Developer,1,0.7824589991056498,78.25,81.9,100.0,100.0,22.91,100.0,,,
Candidate_002,Office Manager,2,0.671261690061087,67.13,100.0,22.68,33.01,52.86,100.0,,,
Candidate_002,Information Technology (IT) Analyst,3,0.6341549727581229,63.42,61.55,62.9,75.84,26.64,100.0,,,
Candidate_002,Office Administrator,4,0.6221238190657665,62.21,81.98,8.74,36.99,52.86,100.0,,,
Candidate_002,Secondary School Teacher,5,0.6100594939571804,61.01,78.23,24.15,46.73,36.36,100.0,,,
Candidate_003,Administrative Assistant,1,0.7433365831407092,74.33,100.0,48.34,58.76,43.85,100.0,,,
Candidate_003,Office Manager,2,0.6736385974099597,67.36,88.03,36.1,45.66,52.86,100.0,,,
Candidate_003,Office Administrator,3,0.6509644534327194,65.1,71.26,12.59,55.95,52.86,100.0,,,
Candidate_003,"Driver, Truck",4,0.5690717532392499,56.91,69.59,20.71,13.69,88.8,100.0,,,
Candidate_003,Inside Sales Representative,5,0.5016725733595636,50.17,58.38,50.69,35.56,86.44,0.0,,,
Candidate_004,Software Developer,1,0.8458171720921132,84.58,100.0,19.95,100.0,22.91,100.0,,,
Candidate_004,Information Technology (IT) Analyst,2,0.6992755023728969,69.93,74.24,100.0,81.76,26.64,100.0,,,
Candidate_004,Secondary School Teacher,3,0.571702112812933,57.17,76.52,6.69,37.48,36.36,100.0,,,
Candidate_004,Bookkeeper,4,0.5533414265204007,55.33,72.19,20.73,40.24,29.92,100.0,,,
Candidate_004,Licensed Practical Nurse (L.P.N.),5,0.4609505729240499,46.1,72.05,5.29,13.71,30.39,100.0,,,
Candidate_005,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,100.0,22.91,100.0,,,
Candidate_005,Office Manager,2,0.6546004372927443,65.46,92.47,52.17,35.78,52.86,100.0,,,
Candidate_005,Office Administrator,3,0.6273969522166322,62.74,75.19,26.76,45.29,52.86,100.0,,,
Candidate_005,Secondary School Teacher,4,0.6194622770021931,61.95,82.18,33.88,45.46,36.36,100.0,,,
Candidate_005,Bookkeeper,5,0.5969300806108413,59.69,92.61,40.55,32.28,29.92,100.0,,,
Candidate_006,Software Developer,1,0.8458171720921132,84.58,100.0,74.78,100.0,22.91,100.0,,,
Candidate_006,Information Technology (IT) Analyst,2,0.7568064072677244,75.68,81.55,45.56,90.89,26.64,100.0,,,
Candidate_006,Administrative Assistant,3,0.610374921176186,61.04,70.54,38.66,50.23,43.85,100.0,,,
Candidate_006,Retail Sales Associate,4,0.5505198690039517,55.05,73.75,30.81,34.15,86.44,0.0,,,
Candidate_006,Inside Sales Representative,5,0.5482584738154712,54.83,73.75,30.9,33.5,86.44,0.0,,,
Candidate_007,Food Service Supervisor,1,0.7431132210509125,74.31,100.0,11.25,44.7,68.33,100.0,,,
Candidate_007,Administrative Assistant,2,0.6991469091471364,69.91,100.0,19.29,46.13,43.85,100.0,,,
