candidate_id,selected_occupation,final_hybrid_percentage,onet_soc_code,skill,candidate_evidence,skill_present,gap_status,importance,level,onet_gap_priority,skill_gap_priority,system_gap,human_gap,human_gap_severity,expert_rating,reviewer_notes
Candidate_001,Software Developer,84.58,15-1252.00,Active Learning,1.0,1,Existing,3.5,3.62,0.712,0.0,0,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Active Listening,0.0,0,Missing,3.38,3.88,0.726,0.726,1,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Critical Thinking,1.0,1,Existing,3.88,4.12,0.8,0.0,0,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Learning Strategies,1.0,1,Existing,2.62,3.12,0.5740000000000001,0.0,0,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Mathematics,1.0,1,Existing,2.75,3.25,0.6000000000000001,0.0,0,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Monitoring,0.0,0,Missing,3.0,3.5,0.6499999999999999,0.6499999999999999,1,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Reading Comprehension,1.0,1,Existing,3.5,4.25,0.7749999999999999,0.0,0,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Science,1.0,1,Existing,2.12,1.88,0.4,0.0,0,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Speaking,0.0,0,Missing,3.12,3.62,0.6739999999999999,0.6739999999999999,1,,,,
Candidate_001,Software Developer,84.58,15-1252.00,Writing,1.0,1,Existing,3.25,3.62,0.687,0.0,0,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Active Learning,1.0,1,Existing,3.5,3.62,0.712,0.0,0,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Active Listening,0.0,0,Missing,3.38,3.88,0.726,0.726,1,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Critical Thinking,1.0,1,Existing,3.88,4.12,0.8,0.0,0,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Learning Strategies,1.0,1,Existing,2.62,3.12,0.5740000000000001,0.0,0,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Mathematics,0.0,0,Missing,2.75,3.25,0.6000000000000001,0.6000000000000001,1,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Monitoring,0.0,0,Missing,3.0,3.5,0.6499999999999999,0.6499999999999999,1,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Reading Comprehension,1.0,1,Existing,3.5,4.25,0.7749999999999999,0.0,0,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Science,0.0,0,Missing,2.12,1.88,0.4,0.4,1,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Speaking,0.0,0,Missing,3.12,3.62,0.6739999999999999,0.6739999999999999,1,,,,
Candidate_002,Software Developer,78.25,15-1252.00,Writing,1.0,1,Existing,3.25,3.62,0.687,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Active Learning,1.0,1,Existing,2.88,3.0,0.588,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Active Listening,1.0,1,Existing,4.0,3.75,0.775,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Critical Thinking,1.0,1,Existing,3.0,3.62,0.6619999999999999,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Learning Strategies,1.0,1,Existing,2.12,1.88,0.4,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Mathematics,0.0,0,Missing,2.0,1.62,0.362,0.362,1,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Monitoring,1.0,1,Existing,3.12,3.25,0.637,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Reading Comprehension,1.0,1,Existing,3.88,3.88,0.776,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Science,0.0,0,Missing,1.0,0.0,0.1,0.1,1,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Speaking,1.0,1,Existing,4.0,3.62,0.762,0.0,0,,,,
Candidate_003,Administrative Assistant,74.33,43-6014.00,Writing,1.0,1,Existing,3.75,3.5,0.725,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Active Learning,1.0,1,Existing,3.5,3.62,0.712,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Active Listening,0.0,0,Missing,3.38,3.88,0.726,0.726,1,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Critical Thinking,1.0,1,Existing,3.88,4.12,0.8,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Learning Strategies,1.0,1,Existing,2.62,3.12,0.5740000000000001,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Mathematics,1.0,1,Existing,2.75,3.25,0.6000000000000001,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Monitoring,1.0,1,Existing,3.0,3.5,0.6499999999999999,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Reading Comprehension,1.0,1,Existing,3.5,4.25,0.7749999999999999,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Science,1.0,1,Existing,2.12,1.88,0.4,0.0,0,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Speaking,0.0,0,Missing,3.12,3.62,0.6739999999999999,0.6739999999999999,1,,,,
Candidate_004,Software Developer,84.58,15-1252.00,Writing,1.0,1,Existing,3.25,3.62,0.687,0.0,0,,,,
Candidate_005,Software Developer,84.58,15-1252.00,Active Learning,1.0,1,Existing,3.5,3.62,0.712,0.0,0,,,,
Candidate_005,Software Developer,84.58,15-1252.00,Active Listening,0.0,0,Missing,3.38,3.88,0.726,0.726,1,,,,
Candidate_005,Software Developer,84.58,15-1252.00,Critical Thinking,1.0,1,Existing,3.88,4.12,0.8,0.0,0,,,,
Candidate_005,Software Developer,84.58,15-1252.00,Learning Strategies,1.0,1,Existing,2.62,3.12,0.5740000000000001,0.0,0,,,,
