candidate_id,recommended_occupation,recommendation_rank,recommendation_score,recommendation_percentage,skill_percentage,semantic_percentage,demand_percentage,education_percentage,recommendation_label,recommendation_summary
Candidate_001,Software Developer,1,0.8458171720921132,84.58,100.0,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 84.58% | Skill: 100.0% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_001,Information Technology (IT) Analyst,2,0.6529899715245859,65.3,69.68,73.1,26.64,100.0,Rank 2: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 65.3% | Skill: 69.68% | Semantic: 73.1% | Demand: 26.64% | Education: 100.0%
Candidate_001,Bookkeeper,3,0.6034287504596646,60.34,61.28,65.46,29.92,100.0,Rank 3: Bookkeeper,Bookkeeper — Overall Match: 60.34% | Skill: 61.28% | Semantic: 65.46% | Demand: 29.92% | Education: 100.0%
Candidate_001,Secondary School Teacher,4,0.5919833667651913,59.2,62.29,57.5,36.36,100.0,Rank 4: Secondary School Teacher,Secondary School Teacher — Overall Match: 59.2% | Skill: 62.29% | Semantic: 57.5% | Demand: 36.36% | Education: 100.0%
Candidate_001,Office Administrator,5,0.4657840128858145,46.58,43.62,59.26,52.86,0.0,Rank 5: Office Administrator,Office Administrator — Overall Match: 46.58% | Skill: 43.62% | Semantic: 59.26% | Demand: 52.86% | Education: 0.0%
Candidate_002,Software Developer,1,0.7824589991056498,78.25,81.9,100.0,22.91,100.0,Rank 1: Software Developer,Software Developer — Overall Match: 78.25% | Skill: 81.9% | Semantic: 100.0% | Demand: 22.91% | Education: 100.0%
Candidate_002,Office Manager,2,0.671261690061087,67.13,100.0,33.01,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 67.13% | Skill: 100.0% | Semantic: 33.01% | Demand: 52.86% | Education: 100.0%
Candidate_002,Information Technology (IT) Analyst,3,0.6341549727581229,63.42,61.55,75.84,26.64,100.0,Rank 3: Information Technology (IT) Analyst,Information Technology (IT) Analyst — Overall Match: 63.42% | Skill: 61.55% | Semantic: 75.84% | Demand: 26.64% | Education: 100.0%
Candidate_002,Office Administrator,4,0.6221238190657665,62.21,81.98,36.99,52.86,100.0,Rank 4: Office Administrator,Office Administrator — Overall Match: 62.21% | Skill: 81.98% | Semantic: 36.99% | Demand: 52.86% | Education: 100.0%
Candidate_002,Secondary School Teacher,5,0.6100594939571804,61.01,78.23,46.73,36.36,100.0,Rank 5: Secondary School Teacher,Secondary School Teacher — Overall Match: 61.01% | Skill: 78.23% | Semantic: 46.73% | Demand: 36.36% | Education: 100.0%
Candidate_003,Administrative Assistant,1,0.7433365831407092,74.33,100.0,58.76,43.85,100.0,Rank 1: Administrative Assistant,Administrative Assistant — Overall Match: 74.33% | Skill: 100.0% | Semantic: 58.76% | Demand: 43.85% | Education: 100.0%
Candidate_003,Office Manager,2,0.6736385974099597,67.36,88.03,45.66,52.86,100.0,Rank 2: Office Manager,Office Manager — Overall Match: 67.36% | Skill: 88.03% | Semantic: 45.66% | Demand: 52.86% | Education: 100.0%
Candidate_003,Office Administrator,3,0.6509644534327194,65.1,71.26,55.95,52.86,100.0,Rank 3: Office Administrator,Office Administrator — Overall Match: 65.1% | Skill: 71.26% | Semantic: 55.95% | Demand: 52.86% | Education: 100.0%
Candidate_003,"Driver, Truck",4,0.5690717532392499,56.91,69.59,13.69,88.8,100.0,"Rank 4: Driver, Truck","Driver, Truck — Overall Match: 56.91% | Skill: 69.59% | Semantic: 13.69% | Demand: 88.8% | Education: 100.0%"
Candidate_003,Inside Sales Representative,5,0.5016725733595636,50.17,58.38,35.56,86.44,0.0,Rank 5: Inside Sales Representative,Inside Sales Representative — Overall Match: 50.17% | Skill: 58.38% | Semantic: 35.56% | Demand: 86.44% | Education: 0.0%
