candidate_id,recommended_occupation,system_rank,final_hybrid_percentage,skill_percentage,tfidf_percentage,semantic_percentage,demand_percentage,education_percentage,human_relevant,human_relevance_grade,reviewer_notes,final_hybrid_score
Candidate_001,Software Developer,1,84.58,100,39.58,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.845817172
Candidate_001,Information Technology (IT) Analyst,2,65.3,69.68,100,73.1,26.64,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.652989972
Candidate_001,Bookkeeper,3,60.34,61.28,23.08,65.46,29.92,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.60342875
Candidate_001,Secondary School Teacher,4,59.2,62.29,5.54,57.5,36.36,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.591983367
Candidate_001,Office Administrator,5,46.58,43.62,3.15,59.26,52.86,0,1,1,Some transferable skills are present.,0.465784013
Candidate_001,Office Manager,6,43.95,41.54,5.51,53.82,52.86,0,1,1,Some transferable skills are present,0.439472898
Candidate_001,Licensed Practical Nurse (L.P.N.),7,41.04,51.54,2.86,19.77,30.39,100,1,1,Some transferable skills are present,0.410374142
Candidate_001,Restaurant Manager,8,37.48,26.8,0,46.77,58.65,0,0,0,No meaningful connection,0.374793709
Candidate_001,"Driver, Truck",9,34.68,25.32,1.61,23.01,88.8,0,0,0,No meaningful connection,0.34676649
Candidate_001,Food Service Supervisor,10,34.48,3.64,4.94,55.82,68.33,0,0,0,No meaningful connection,0.344753581
Candidate_001,Continuing Care Assistant,11,34.26,19.43,2.55,53.33,43.96,0,0,0,No meaningful connection,0.342589813
Candidate_001,Administrative Assistant,12,33.64,0,41.64,71.07,43.85,0,0,0,No meaningful connection,0.336444917
Candidate_001,Inside Sales Representative,13,31.73,14.53,4.11,26.72,86.44,0,0,0,No meaningful connection,0.317260253
Candidate_001,Retail Sales Associate,14,31.06,14.53,4.08,24.82,86.44,0,0,0,No meaningful connection,0.310600882
Candidate_001,Delivery Driver,15,12.45,14.4,10.7,0,37.05,0,0,0,No meaningful connection,0.124489458
Candidate_002,Software Developer,1,78.25,81.9,100,100,22.91,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.782458999
Candidate_002,Office Manager,2,67.13,100,22.68,33.01,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.67126169
Candidate_002,Information Technology (IT) Analyst,3,63.42,61.55,62.9,75.84,26.64,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.634154973
Candidate_002,Office Administrator,4,62.21,81.98,8.74,36.99,52.86,100,1,3,"Strong direct alignment with the candidate's education, skills, and professional experience.",0.622123819
Candidate_002,Secondary School Teacher,5,61.01,78.23,24.15,46.73,36.36,100,1,2,"Reasonable career option with several relevant transferable skills, but alignment is not direct.",0.610059494
Candidate_002,Administrative Assistant,6,43.92,54.58,32.69,45.85,43.85,0,1,1,Some transferable skills are present,0.439198974
Candidate_002,"Driver, Truck",7,41.53,53.25,13.01,14.67,88.8,0,1,1,Some transferable skills are present,0.415329664
Candidate_002,Inside Sales Representative,8,33.12,23.5,31.85,21.72,86.44,0,0,0,No meaningful connection,0.331158813
Candidate_002,Retail Sales Associate,9,32.08,23.5,31.75,18.76,86.44,0,0,0,No meaningful connection,0.320765879
Candidate_002,Food Service Supervisor,10,26.7,0,25.03,37.23,68.33,0,0,0,No meaningful connection,0.266986877
Candidate_002,Continuing Care Assistant,11,25.74,16.22,0,32.22,43.96,0,0,0,No meaningful connection,0.257446176
Candidate_002,Bookkeeper,12,23.25,19.49,61.55,29.84,29.92,0,0,0,No meaningful connection,0.232505078
Candidate_002,Restaurant Manager,13,22.13,15.92,19.76,13.8,58.65,0,0,0,No meaningful connection,0.221344327
Candidate_002,Licensed Practical Nurse (L.P.N.),14,16.65,4.08,28.17,26.13,30.39,0,0,0,No meaningful connection,0.166512264
