candidate_id,selected_occupation,skill,candidate_evidence,skill_present,gap_status,importance,level,system_gap,human_gap,human_gap_severity,expert_rating,reviewer_notes,final_hybrid_percentage,onet_soc_code,onet_gap_priority,skill_gap_priority
Candidate_001,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,"Learning new frameworks, languages, technologies",84.58,15-1252.00,0.712,0
Candidate_001,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Understanding requirements and team discussions,84.58,15-1252.00,0.726,0.726
Candidate_001,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Debugging and evaluating technical solutions,84.58,15-1252.00,0.8,0
Candidate_001,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Learning unfamiliar technologies efficiently,84.58,15-1252.00,0.574,0
Candidate_001,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,"Algorithms, logic, calculations depending on role",84.58,15-1252.00,0.6,0
Candidate_001,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,"Monitoring applications, tests, performance and results",84.58,15-1252.00,0.65,0.65
Candidate_001,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_001,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,No Skills,84.58,15-1252.00,0.4,0
Candidate_001,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Explaining technical issues and collaborating,84.58,15-1252.00,0.674,0.674
Candidate_001,Software Developer,Writing,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.687,0
Candidate_002,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,Skills found,78.25,15-1252.00,0.712,0
Candidate_002,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Skills not found,78.25,15-1252.00,0.726,0.726
Candidate_002,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Skills found,78.25,15-1252.00,0.8,0
Candidate_002,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Skills found,78.25,15-1252.00,0.574,0
Candidate_002,Software Developer,Mathematics,0,0,Missing,2.75,3.25,1,0,0,1,Skills found,78.25,15-1252.00,0.6,0.6
Candidate_002,Software Developer,Monitoring,0,0,Missing,3,3.5,1,1,3,5,Moderate skills found,78.25,15-1252.00,0.65,0.65
Candidate_002,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,78.25,15-1252.00,0.775,0
Candidate_002,Software Developer,Science,0,0,Missing,2.12,1.88,1,1,5,5,Skills not found,78.25,15-1252.00,0.4,0.4
Candidate_002,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Skills not found,78.25,15-1252.00,0.674,0.674
Candidate_002,Software Developer,Writing,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,78.25,15-1252.00,0.687,0
Candidate_003,Administrative Assistant,Active Learning,1,1,Existing,2.88,3,0,0,0,5,Skills found,74.33,43-6014.00,0.588,0
Candidate_003,Administrative Assistant,Active Listening,1,1,Existing,4,3.75,0,0,0,5,Skills found,74.33,43-6014.00,0.775,0
Candidate_003,Administrative Assistant,Critical Thinking,1,1,Existing,3,3.62,0,0,0,5,Skills found,74.33,43-6014.00,0.662,0
Candidate_003,Administrative Assistant,Learning Strategies,1,1,Existing,2.12,1.88,0,1,4,5,Skills  not found,74.33,43-6014.00,0.4,0
Candidate_003,Administrative Assistant,Mathematics,0,0,Missing,2,1.62,1,1,3,5,Skills not found,74.33,43-6014.00,0.362,0.362
Candidate_003,Administrative Assistant,Monitoring,1,1,Existing,3.12,3.25,0,0,0,5,Skills found,74.33,43-6014.00,0.637,0
Candidate_003,Administrative Assistant,Reading Comprehension,1,1,Existing,3.88,3.88,0,0,0,5,Skills found,74.33,43-6014.00,0.776,0
Candidate_003,Administrative Assistant,Science,0,0,Missing,1,0,1,1,5,5,Skills not found,74.33,43-6014.00,0.1,0.1
Candidate_003,Administrative Assistant,Speaking,1,1,Existing,4,3.62,0,0,0,5,Skills found,74.33,43-6014.00,0.762,0
Candidate_003,Administrative Assistant,Writing,1,1,Existing,3.75,3.5,0,0,0,5,Skills found,74.33,43-6014.00,0.725,0
Candidate_004,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.712,0
Candidate_004,Software Developer,Active Listening,0,0,Missing,3.38,3.88,1,1,5,5,Skills  not found,84.58,15-1252.00,0.726,0.726
Candidate_004,Software Developer,Critical Thinking,1,1,Existing,3.88,4.12,0,0,0,5,Skills found,84.58,15-1252.00,0.8,0
Candidate_004,Software Developer,Learning Strategies,1,1,Existing,2.62,3.12,0,0,0,5,Skills found,84.58,15-1252.00,0.574,0
Candidate_004,Software Developer,Mathematics,1,1,Existing,2.75,3.25,0,0,0,5,Skills found,84.58,15-1252.00,0.6,0
Candidate_004,Software Developer,Monitoring,1,1,Existing,3,3.5,0,1,3,5,Skills found,84.58,15-1252.00,0.65,0
Candidate_004,Software Developer,Reading Comprehension,1,1,Existing,3.5,4.25,0,0,0,5,Skills found,84.58,15-1252.00,0.775,0
Candidate_004,Software Developer,Science,1,1,Existing,2.12,1.88,0,0,0,5,Skills found,84.58,15-1252.00,0.4,0
Candidate_004,Software Developer,Speaking,0,0,Missing,3.12,3.62,1,1,3,5,Skills found,84.58,15-1252.00,0.674,0.674
Candidate_004,Software Developer,Writing,1,1,Existing,3.25,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.687,0
Candidate_005,Software Developer,Active Learning,1,1,Existing,3.5,3.62,0,0,0,5,Skills found,84.58,15-1252.00,0.712,0
